author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
Hu,2021,"Fuzhou,China",Building and Environment,Pollutant analyzer,NA,PM10,PM,s,8,46.5,16.4,25,42.7,15.7,wide street,urban park,mug,NA,50_Hu_2021,50,NA,TRUE,4,123,68,68,50_Hu_2021_case4,case4,obs.123,Hu_2021_obs.123,s,-0.085253392,0.020956206,-0.085253392,0.020956206,FALSE,0.144762584,0.144762584
Liu,2016,"Beijing,China",Environmental Science And Pollution Research,Pollutant analyzer,NA,PM10,PM,s,11,129,30.9,11,157.8,51.2,bare land,forests,mug,NA,55_Liu_2016,55,NA,TRUE,1,136,69,69,55_Liu_2016_case1,case1,obs.136,Liu_2016_obs.136,s,0.201516004,0.014786557,0.201516004,0.014786557,FALSE,0.121599987,0.121599987
Liu,2016,"Beijing,China",Environmental Science And Pollution Research,Pollutant analyzer,NA,PM25,PM,s,11,56.3,14.5,11,53.6,10.2,bare land,forests,mug,NA,55_Liu_2016,55,NA,TRUE,2,137,70,70,55_Liu_2016_case2,case2,obs.137,Liu_2016_obs.137,s,-0.049145467,0.009322266,-0.049145467,0.009322266,FALSE,0.096551884,0.096551884
Gu Lin,2013,"WuXi,China",Chinese Journal of Applied Ecology,Pollutant analyzer,NA,PM25,PM,g,3,58.46,3.98,3,57.04333333,0.876666667,outside forests(road-spring),inside forests,mug,NA,13_Gu Lin_2013,13,NA,FALSE,1,184,71,71,13_Gu Lin_2013_case1,case1,obs.184,Gu Lin_2013_obs.184,s,-0.054694216,0.001566574,-0.031824914,5.42e-4,FALSE,0.03957997,0.023283672
Gu Lin,2013,"WuXi,China",Chinese Journal of Applied Ecology,Pollutant analyzer,NA,PM25,PM,g,3,13.03,0.1,3,12.44666667,0.183333333,outside forests(road-summer),inside forests,mug,NA,13_Gu Lin_2013,13,NA,FALSE,2,187,74,74,13_Gu Lin_2013_case2,case2,obs.187,Gu Lin_2013_obs.187,s,-0.055847512,2.77e-5,-0.051284589,1.83e-5,FALSE,0.005265496,0.004283428
Gu Lin,2013,"WuXi,China",Chinese Journal of Applied Ecology,Pollutant analyzer,NA,PM25,PM,g,3,51.1,9.91,3,33.99333333,3.22,outside forests(road-autumn),inside forests,mug,NA,13_Gu Lin_2013,13,NA,FALSE,3,190,77,77,13_Gu Lin_2013_case3,case3,obs.190,Gu Lin_2013_obs.190,s,-0.349558054,0.013115499,-0.402155249,0.005265016,FALSE,0.114522919,0.072560427
Gu Lin,2013,"WuXi,China",Chinese Journal of Applied Ecology,Pollutant analyzer,NA,PM25,PM,g,3,42.87,4.83,3,39.61333333,0.973333333,outside forests(road-winter),inside forests,mug,NA,13_Gu Lin_2013,13,NA,FALSE,4,193,80,80,13_Gu Lin_2013_case4,case4,obs.193,Gu Lin_2013_obs.193,s,-0.067485148,0.00429664,-0.080256582,0.00147933,FALSE,0.065548759,0.038462053
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,PM10,PM,s,144,69,30.5,144,24,9,urban square(winter),urban park(winter),mug,NA,18_Cohen_2014,18,NA,FALSE,1,200,83,83,18_Cohen_2014_case3,case3,obs.200,Cohen_2014_obs.200,s,-1.0253615,0.001636981,-1.032882321,0.001152165,TRUE,0.040459618,0.033943561
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,PM10,PM,s,192,34,18,192,33,13,urban square(summer),urban park(summer),mug,NA,18_Cohen_2014,18,NA,FALSE,4,202,85,85,18_Cohen_2014_case4,case4,obs.202,Cohen_2014_obs.202,s,0.104846298,0.001364156,0.065668927,0.001010075,TRUE,0.036934479,0.031781685
Wang,2016,"Hefei,China",Ecology and Environmental Sciences,Pollutant analyzer,NA,PM25,PM,s,10,64.4,15.3,10,49.83333333,11.7,open square,grassland,mug,NA,26_Wang_2016,26,NA,FALSE,1,210,87,87,26_Wang_2016_case1,case1,obs.210,Wang_2016_obs.210,s,-0.258907463,0.007458981,-0.259785077,0.003712128,FALSE,0.086365394,0.060927237
Duan,2017,"Shenzhen,China",JBFU,Pollutant analyzer,NA,TSP,PM,s,12,127.71,6.11,12,114.1066667,13.02333333,urban square,Foothill,mug,NA,30_Duan_2017,30,NA,FALSE,1,216,90,90,30_Duan_2017_case1,case1,obs.216,Duan_2017_obs.216,s,-0.186818646,5.25e-4,-0.179878346,4.02e-4,FALSE,0.022911186,0.02005429
Duan,2017,"Shenzhen,China",JBFU,Pollutant analyzer,NA,PM10,PM,s,12,72.3,3.65,12,72.25333333,7.703333333,urban square,Foothill,mug,NA,30_Duan_2017,30,NA,FALSE,2,219,93,93,30_Duan_2017_case2,case2,obs.219,Duan_2017_obs.219,s,-0.033919946,5.12e-4,-0.030719191,3.75e-4,FALSE,0.022637973,0.019355217
Duan,2017,"Shenzhen,China",JBFU,Pollutant analyzer,NA,PM25,PM,s,12,14.73,0.6,12,18.64333333,1.453333333,urban square,Foothill,mug,NA,30_Duan_2017,30,NA,FALSE,3,222,96,96,30_Duan_2017_case3,case3,obs.222,Duan_2017_obs.222,s,0.098244388,2.31e-4,0.131479128,1.55e-4,FALSE,0.015209927,0.01245487
Ozdemir,2019,"Istanbul,Turkey",Science of The Total Environment,Passive sampler,NA,PM25,PM,s,26,35.54,27.81,34,32.6,13.83,"no trees,close to traffic roadside",roadside tree line with gaps,mug,NA,41_Ozdemir_2019,41,NA,FALSE,1,234,99,99,41_Ozdemir_2019_case1,case1,obs.234,Ozdemir_2019_obs.234,s,-0.05887924,0.026081968,-0.086623096,0.014500024,FALSE,0.161499128,0.120416046
Wan,2020,"Wuhan,China",JONFU,Pollutant analyzer,NA,PM25,PM,s,7,39.1,9.2,7,41.35,12.5,urban square,dense forests,mug,NA,47_Wan_2020,47,NA,FALSE,1,236,101,101,47_Wan_2020_case1,case1,obs.236,Wan_2020_obs.236,s,0.04829158,0.014193004,0.050943576,0.010337861,FALSE,0.119134394,0.101675274
Wan,2020,"Wuhan,China",JONFU,Pollutant analyzer,NA,PM10,PM,s,7,54.5,13.1,7,57.6,17.25,urban square,dense forests,mug,NA,47_Wan_2020,47,NA,FALSE,2,238,103,103,47_Wan_2020_case2,case2,obs.238,Wan_2020_obs.238,s,0.045175592,0.0143626,0.048803315,0.010360174,FALSE,0.119844065,0.101784938
Shao,2004,"Yichang,China",CJOAE,Passive sampler+Pollutant analyzer,NA,TSP,PM,s,5,0.492,0.083,5,0.1645,0.053,bulding area,green land1,mg,NA,51_Shao_2004,51,NA,FALSE,3,244,105,105,51_Shao_2004_case3,case3,obs.244,Shao_2004_obs.244,s,-1.119567655,0.017349185,-1.154866012,0.014688267,FALSE,0.131716305,0.121195161
Kapoor,2013,"Udaipur,India",Environmental Monitoring And Assessment,Passive sampler,NA,PM,PM,s,24,286.5,146.8,24,272,44.5,urban area,forest area,mug,NA,52_Kapoor_2013,52,NA,FALSE,3,250,107,107,52_Kapoor_2013_case3,case3,obs.250,Kapoor_2013_obs.250,s,0.015184685,0.006282498,0.011531093,0.005737695,TRUE,0.079262212,0.075747576
Freiman,2006,Israel,Atmospheric Environment,Pollutant analyzer,NA,PM10,PM,s,4,67.7,11.15,6,74.7,25.8,urban residential(61% cover),forests(98% cover),spring moring,NA,7_Freiman_2006,7,NA,FALSE,1,252,109,109,7_Freiman_2006_case1,case1,obs.252,Freiman_2006_obs.252,s,0.095969558,0.022652356,0.098792191,0.012723599,TRUE,0.150506997,0.11279893
Freiman,2006,Israel,Atmospheric Environment,Pollutant analyzer,NA,PM10,PM,s,8,58.55,4.975,11,60.5,6.9,urban residential(60% cover),forests(98% cover),summer morning,NA,7_Freiman_2006,7,NA,FALSE,2,254,111,111,7_Freiman_2006_case2,case2,obs.254,Freiman_2006_obs.254,s,0.039047702,0.00138677,0.03748464,5.24e-4,TRUE,0.037239357,0.022893285
