author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
A.Bytnerowicz,1999,Poland,Water Air And Soil Pollution,Pollutant analyzer,NA,SO2,SO2,g,5,20.7,5.4,8,16.1,7.5,urban,forests,mug,NA,2_A.Bytnerowicz_1999,2,NA,TRUE,2,22,7,11,2_A.Bytnerowicz_1999_case2,case2,obs.22,A.Bytnerowicz_1999_obs.22,g,-0.251314428,0.040736276,-0.251314428,0.040736276,FALSE,0.201832296,0.201832296
P.J.Irga,2015,"Sydney, Australia",Atmospheric Environment,Pollutant analyzer,NA,NO2,NOX,g,5,1.1,0.04,6,1.1,0.06,Residential/street,Park,ppm,NA,20_P.J.Irga_2015,20,NA,TRUE,4,26,8,12,20_P.J.Irga_2015_case4,case4,obs.26,P.J.Irga_2015_obs.26,g,0,7.6e-4,0,7.6e-4,FALSE,0.027574093,0.027574093
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.26,0.02,20,0.22,0.02,traffic road,green lane,mg,9am-10am,22_Wang_2015,22,NA,TRUE,1,28,9,13,22_Wang_2015_case1,case1,obs.28,Wang_2015_obs.28,g,-0.167054085,7.09e-4,-0.167054085,7.09e-4,FALSE,0.026628577,0.026628577
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.26,0.02,20,0.2,0.02,traffic road,green lane,mg,11am-12am,22_Wang_2015,22,NA,TRUE,2,29,10,14,22_Wang_2015_case2,case2,obs.29,Wang_2015_obs.29,g,-0.262364264,7.96e-4,-0.262364264,7.96e-4,FALSE,0.028210955,0.028210955
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,NOX,NOX,g,20,0.22,0.02,20,0.17,0.02,traffic road,green lane,mg,13:30pm-14:30pm,22_Wang_2015,22,NA,TRUE,3,30,11,15,22_Wang_2015_case3,case3,obs.30,Wang_2015_obs.30,g,-0.257829109,0.001105265,-0.257829109,0.001105265,FALSE,0.033245521,0.033245521
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.09,0.01,20,0.08,0.01,traffic road,green lane,mug,9am-10am,22_Wang_2015,22,NA,TRUE,7,34,3,16,22_Wang_2015_case7,case7,obs.34,Wang_2015_obs.34,g,-0.117783036,0.001398534,-0.117783036,0.001398534,FALSE,0.037396978,0.037396978
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.08,0.02,20,0.08,0.02,traffic road,green lane,mug,11am-12am,22_Wang_2015,22,NA,TRUE,8,35,4,17,22_Wang_2015_case8,case8,obs.35,Wang_2015_obs.35,g,0,0.00625,0,0.00625,FALSE,0.079056942,0.079056942
Wang,2015,"Taiyuan,China",Acta Ecologica Sinica,Passive sampler,NA,SO2,SO2,g,20,0.09,0.01,20,0.05,0.01,traffic road,green lane,mug,13:30pm-14:30pm,22_Wang_2015,22,NA,TRUE,9,36,5,18,22_Wang_2015_case9,case9,obs.36,Wang_2015_obs.36,g,-0.587786665,0.002617284,-0.587786665,0.002617284,FALSE,0.051159397,0.051159397
Liu,2016,"Kunming,China",JONFU,Passive sampler,NA,NOX,NOX,g,4,0.38,0.03,4,0.07,0.04,outside forests,inside forests,mg,NA,24_Liu_2016,24,NA,TRUE,1,45,12,19,24_Liu_2016_case1,case1,obs.45,Liu_2016_obs.45,g,-1.691676011,0.083190825,-1.691676011,0.083190825,FALSE,0.288428197,0.288428197
Liu,2016,"Kunming,China",JONFU,Passive sampler,NA,SO2,SO2,g,4,0.18,0.02,4,0.03,0.02,outside forests,inside forests,mg,NA,24_Liu_2016,24,NA,TRUE,2,46,6,20,24_Liu_2016_case2,case2,obs.46,Liu_2016_obs.46,g,-1.791759469,0.114197531,-1.791759469,0.114197531,FALSE,0.337931252,0.337931252
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,45.7,2.3,urban square,Foothill,mug,NA,29_Duan_2017,29,NA,TRUE,1,55,3,21,29_Duan_2017_case1,case1,obs.55,Duan_2017_obs.55,g,0.272480911,0.001367797,0.272480911,0.001367797,FALSE,0.036983737,0.036983737
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,48.5,1.9,urban square,River valley,mug,NA,29_Duan_2017,29,NA,TRUE,2,56,4,22,29_Duan_2017_case2,case2,obs.56,Duan_2017_obs.56,g,0.331946411,0.001284611,0.331946411,0.001284611,FALSE,0.035841471,0.035841471
Duan,2017,"Shenzhen,China",China Environmental Science,Passive sampler,NA,O3,O3,g,12,34.8,4.1,12,68.1,5.5,urban square,Ridge,mug,NA,29_Duan_2017,29,NA,TRUE,3,57,5,23,29_Duan_2017_case3,case3,obs.57,Duan_2017_obs.57,g,0.671359826,0.001700282,0.671359826,0.001700282,FALSE,0.04123448,0.04123448
Wende.Y,2006,Changsha,ACTA ECOLOGICA SINICA,Pollutant analyzer,NA,SO2,SO2,g,4,0.15,0.04,4,0.12,0.03,urban,forests,mg,NA,3_Wende.Y_2006,3,NA,TRUE,1,58,7,24,3_Wende.Y_2006_case1,case1,obs.58,Wende.Y_2006_obs.58,g,-0.223143551,0.033402778,-0.223143551,0.033402778,FALSE,0.182764268,0.182764268
Wende.Y,2006,Changsha,ACTA ECOLOGICA SINICA,Pollutant analyzer,NA,SO2,SO2,g,4,0.2,0.04,4,0.15,0.04,urban,forests,mg,NA,3_Wende.Y_2006,3,NA,TRUE,2,59,8,25,3_Wende.Y_2006_case2,case2,obs.59,Wende.Y_2006_obs.59,g,-0.287682072,0.027777778,-0.287682072,0.027777778,FALSE,0.166666667,0.166666667
Jiang,2017,"Beijing,China",Research of Environmental Sciences,Pollutant analyzer,NA,SO2,SO2,g,5,22.3,2.5,5,22.6,8.4,outside forests,inside forests,mug,monthly average,31_Jiang_2017,31,NA,TRUE,1,60,9,26,31_Jiang_2017_case1,case1,obs.60,Jiang_2017_obs.60,g,0.013363228,0.030143039,0.013363228,0.030143039,FALSE,0.173617507,0.173617507
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,NO2,NOX,g,3,19.5,1.2,3,13.3,1.6,"in park,20m from traffic","in park,150m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,1,61,13,27,32_Klingberg_2017_case1,case1,obs.61,Klingberg_2017_obs.61,g,-0.38265043,0.006086418,-0.38265043,0.006086418,FALSE,0.078015497,0.078015497
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,NO2,NOX,g,3,32.6,1.6,3,23.6,2.6,no vegetation,dense vegetastion,mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,2,62,14,28,32_Klingberg_2017_case2,case2,obs.62,Klingberg_2017_obs.62,g,-0.323065576,0.004848713,-0.323065576,0.004848713,FALSE,0.069632701,0.069632701
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,NO2,NOX,g,3,8.8,0.5,3,6.8,0.5,"park,45m from traffic","park,350m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,3,63,15,29,32_Klingberg_2017_case3,case3,obs.63,Klingberg_2017_obs.63,g,-0.257829109,0.002878293,-0.257829109,0.002878293,FALSE,0.053649729,0.053649729
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,55,3.1,3,64.1,3.3,"in park,20m from traffic","in park,150m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,4,64,6,30,32_Klingberg_2017_case4,case4,obs.64,Klingberg_2017_obs.64,g,0.153111179,0.001942421,0.153111179,0.001942421,FALSE,0.044072901,0.044072901
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,51,9.2,3,57.4,6.1,no vegetation,dense vegetastion,mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,5,65,7,31,32_Klingberg_2017_case5,case5,obs.65,Klingberg_2017_obs.65,g,0.118218671,0.014611674,0.118218671,0.014611674,FALSE,0.120878756,0.120878756
Klingberg,2017,"Gothenburg,Sweden",Science of The Total Environment,Pollutant analyzer,NA,O3,O3,g,3,55.9,3.8,3,61.6,3.1,"park,45m from traffic","park,350m from traffic",mug,after leaf emergence,32_Klingberg_2017,32,NA,TRUE,6,66,8,32,32_Klingberg_2017_case6,case6,obs.66,Klingberg_2017_obs.66,g,0.09709749,0.002384551,0.09709749,0.002384551,FALSE,0.048831868,0.048831868
Yli-Pelkonen,2017,"Baltimore,USA",Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,25,21.4,4.8,25,20.2,3.8,open area,tree cover,mug,NA,34_Yli-Pelkonen_2017,34,NA,TRUE,1,68,16,33,34_Yli-Pelkonen_2017_case1,case1,obs.68,Yli-Pelkonen_2017_obs.68,g,-0.057708318,0.00342795,-0.057708318,0.00342795,FALSE,0.0585487,0.0585487
Yli-Pelkonen,2017,"Baltimore,USA",Atmospheric Environment,Passive sampler,NA,O3,O3,g,25,55.5,3.7,25,50.4,4.2,open area,tree cover,mug,NA,34_Yli-Pelkonen_2017,34,NA,TRUE,2,69,9,34,34_Yli-Pelkonen_2017_case2,case2,obs.69,Yli-Pelkonen_2017_obs.69,g,-0.096391846,4.56e-4,-0.096391846,4.56e-4,FALSE,0.021343747,0.021343747
Yli-Pelkonen,2017,"Helsinki,Finland",Landscape and Urban Planning,Passive sampler,NA,NO2,NOX,g,10,21.6,6.3,10,22.3,5.8,open area,tree-covered,mug,"paired sub sampling point, adjacent to traffic lane",35_Yli-Pelkonen_2017,35,NA,TRUE,1,70,17,35,35_Yli-Pelkonen_2017_case1,case1,obs.70,Yli-Pelkonen_2017_obs.70,g,0.031893364,0.015271609,0.031893364,0.015271609,FALSE,0.123578351,0.123578351
Yli-Pelkonen,2017,"Helsinki,Finland",Landscape and Urban Planning,Passive sampler,NA,O3,O3,g,10,39.4,3.5,10,37.8,3.5,open area,tree-covered,mug,"paired sub sampling point, adjacent to traffic lane",35_Yli-Pelkonen_2017,35,NA,TRUE,2,71,10,36,35_Yli-Pelkonen_2017_case2,case2,obs.71,Yli-Pelkonen_2017_obs.71,g,-0.041456714,0.00164646,-0.041456714,0.00164646,FALSE,0.040576593,0.040576593
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,25.9,5.4,10,29.7,6.6,open area,under tree cover,mug,"3m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,1,73,18,37,36_Yli-Pelkonen_2017_case1,case1,obs.73,Yli-Pelkonen_2017_obs.73,g,0.136904077,0.009285255,0.136904077,0.009285255,FALSE,0.096360029,0.096360029
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,18,3.9,10,20,4.4,open area,under tree cover,mug,"20m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,2,74,19,38,36_Yli-Pelkonen_2017_case2,case2,obs.74,Yli-Pelkonen_2017_obs.74,g,0.105360516,0.009534444,0.105360516,0.009534444,FALSE,0.09764448,0.09764448
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,15.5,3.4,10,15.7,3.6,open area,under tree cover,mug,"40m to road sub point, summer",36_Yli-Pelkonen_2017,36,NA,TRUE,3,75,20,39,36_Yli-Pelkonen_2017_case3,case3,obs.75,Yli-Pelkonen_2017_obs.75,g,0.012820688,0.010069474,0.012820688,0.010069474,FALSE,0.10034677,0.10034677
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,35.3,7.8,10,42.2,9.2,open area,under tree cover,mug,"3m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,4,76,21,40,36_Yli-Pelkonen_2017_case4,case4,obs.76,Yli-Pelkonen_2017_obs.76,g,0.178537257,0.009635286,0.178537257,0.009635286,FALSE,0.098159491,0.098159491
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,26.5,5.6,10,28.4,6.3,open area,under tree cover,mug,"20m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,5,77,22,41,36_Yli-Pelkonen_2017_case5,case5,obs.77,Yli-Pelkonen_2017_obs.77,g,0.069244412,0.009386545,0.069244412,0.009386545,FALSE,0.096884182,0.096884182
Yli-Pelkonen,2017,"Helsinki,Finland",Urban Climate,Passive sampler,NA,NO2,NOX,g,10,21.9,4.9,10,21.8,6.1,open area,under tree cover,mug,"40m to road sub point, winter",36_Yli-Pelkonen_2017,36,NA,TRUE,6,78,23,42,36_Yli-Pelkonen_2017_case6,case6,obs.78,Yli-Pelkonen_2017_obs.78,g,-0.004576667,0.012835879,-0.004576667,0.012835879,FALSE,0.113295538,0.113295538
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,O3,O3,g,7,95.8,12.1,15,104.4,11.3,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,1,79,11,43,37_Sabin_2018_case1,case1,obs.79,Sabin_2018_obs.79,g,0.08596699,0.003060011,0.08596699,0.003060011,FALSE,0.055317362,0.055317362
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,NO,NOX,g,7,6,5.7,15,1.2,0.5,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,2,80,24,44,37_Sabin_2018_case2,case2,obs.80,Sabin_2018_obs.80,g,-1.609437912,0.140502646,-1.609437912,0.140502646,FALSE,0.374836825,0.374836825
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,NO2,NOX,g,7,21,8.7,15,5.6,2.9,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,3,81,25,45,37_Sabin_2018_case3,case3,obs.81,Sabin_2018_obs.81,g,-1.32175584,0.042397352,-1.32175584,0.042397352,FALSE,0.205906172,0.205906172
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,19,3.8,8,21.6,6,outside forest,inside forest,mug,5m from traffic lane,39_Viljami_2018,39,NA,TRUE,1,84,26,46,39_Viljami_2018_case1,case1,obs.84,Viljami_2018_obs.84,g,0.128254336,0.014645062,0.128254336,0.014645062,FALSE,0.121016783,0.121016783
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,16,4.5,8,19,4.6,outside forest,inside forest,mug,20m from traffic lane,39_Viljami_2018,39,NA,TRUE,2,85,27,47,39_Viljami_2018_case2,case2,obs.85,Viljami_2018_obs.85,g,0.171850257,0.017214565,0.171850257,0.017214565,FALSE,0.131204288,0.131204288
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,14.1,4.8,8,18.5,3.5,outside forest,inside forest,mug,40m from traffic lane,39_Viljami_2018,39,NA,TRUE,3,86,28,48,39_Viljami_2018_case3,case3,obs.86,Viljami_2018_obs.86,g,0.271595935,0.018960262,0.271595935,0.018960262,FALSE,0.137696265,0.137696265
Xiuchun.C,2007,Changchun,JONFU,Pollutant analyzer,NA,NO2,NOX,g,5,0.019,0.017,5,0.017,0.016,out greenbelt,in greenbelt,mg,NA,4_Xiuchun.C_2007,4,NA,TRUE,1,90,29,49,4_Xiuchun.C_2007_case1,case1,obs.90,Xiuchun.C_2007_obs.90,g,-0.111225635,0.337273433,-0.111225635,0.337273433,FALSE,0.580752471,0.580752471
Lucas,2020,"Uberaba,Brazil",Environmental Monitoring And Assessment,Passive sampler+Pollutant analyzer,NA,NO2,NOX,g,9,20.4,2.2,9,18.1,3.1,Traffic road,Park,mug,NA,44_Lucas_2020,44,NA,TRUE,2,103,30,50,44_Lucas_2020_case2,case2,obs.103,Lucas_2020_obs.103,g,-0.119622963,0.004551533,-0.119622963,0.004551533,FALSE,0.067465054,0.067465054
Lucas,2020,"Uberaba,Brazil",Environmental Monitoring And Assessment,Passive sampler+Pollutant analyzer,NA,O3,O3,g,9,18.4,2.2,9,20.1,2.9,Traffic road,Park,mug,NA,44_Lucas_2020,44,NA,TRUE,3,104,12,51,44_Lucas_2020_case3,case3,obs.104,Lucas_2020_obs.104,g,0.08836915,0.003901351,0.08836915,0.003901351,FALSE,0.062460794,0.062460794
Yli-Pelkonen,2020,Helsinki,Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,9,16.7,3.7,9,16.8,4.2,outside forests,inside forests,mug,"2m,below canopy,summer",48_Yli-Pelkonen_2020,48,NA,TRUE,1,110,31,52,48_Yli-Pelkonen_2020_case1,case1,obs.110,Yli-Pelkonen_2020_obs.110,g,0.005970167,0.012398606,0.005970167,0.012398606,FALSE,0.111349028,0.111349028
Yli-Pelkonen,2020,Helsinki,Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,9,16,3.4,9,16,3.9,outside forests,inside forests,mug,"4.8m,above canopy,summer",48_Yli-Pelkonen_2020,48,NA,TRUE,2,111,32,53,48_Yli-Pelkonen_2020_case2,case2,obs.111,Yli-Pelkonen_2020_obs.111,g,0,0.011618924,0,0.011618924,FALSE,0.107791111,0.107791111
Yli-Pelkonen,2020,Helsinki,Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,9,27.6,6.3,9,27.1,6.2,outside forests,inside forests,mug,"2m,below canopy,winter",48_Yli-Pelkonen_2020,48,NA,TRUE,3,112,33,54,48_Yli-Pelkonen_2020_case3,case3,obs.112,Yli-Pelkonen_2020_obs.112,g,-0.018282045,0.011604929,-0.018282045,0.011604929,FALSE,0.107726175,0.107726175
Yli-Pelkonen,2020,Helsinki,Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,9,26.8,5.3,9,27.3,6.3,outside forests,inside forests,mug,"4.8m,above canopy,winter",48_Yli-Pelkonen_2020,48,NA,TRUE,4,113,34,55,48_Yli-Pelkonen_2020_case4,case4,obs.113,Yli-Pelkonen_2020_obs.113,g,0.018484815,0.010262659,0.018484815,0.010262659,FALSE,0.101304781,0.101304781
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,NO2,NOX,g,16,47.06,12.03,16,58.74,10.28,outside forsts-1m from roadside,inside forsts-1m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,1,124,35,56,53_Fedrica_2013_case1,case1,obs.124,Fedrica_2013_obs.124,g,0.221697542,0.005998453,0.221697542,0.005998453,FALSE,0.077449679,0.077449679
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,NO2,NOX,g,16,37.3,2.79,16,31.55,4.01,outside forsts-5m from roadside,inside forsts-5m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,2,125,36,57,53_Fedrica_2013_case2,case2,obs.125,Fedrica_2013_obs.125,g,-0.167419738,0.001359328,-0.167419738,0.001359328,FALSE,0.036869067,0.036869067
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,NO2,NOX,g,16,29.8,6.27,16,24.75,5.75,outside forsts-10m from roadside,inside forsts-10m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,3,126,37,58,53_Fedrica_2013_case3,case3,obs.126,Fedrica_2013_obs.126,g,-0.185682904,0.006140211,-0.185682904,0.006140211,FALSE,0.078359498,0.078359498
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,43.13,12.13,16,37.27,10.4,outside forsts-1m from roadside,inside forsts-1m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,4,127,13,59,53_Fedrica_2013_case4,case4,obs.127,Fedrica_2013_obs.127,g,-0.146030097,0.009810218,-0.146030097,0.009810218,FALSE,0.099046546,0.099046546
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,45.01,2.92,16,44.02,3.9,outside forsts-5m from roadside,inside forsts-5m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,5,128,14,60,53_Fedrica_2013_case5,case5,obs.128,Fedrica_2013_obs.128,g,-0.022240611,7.54e-4,-0.022240611,7.54e-4,FALSE,0.027452191,0.027452191
Fedrica,2013,"Siena,Italy","21st International Conference on Modelling, Monitoring and Management of Air Pollution",Passive sampler,Oak forsts,O3,O3,g,16,46.78,6.28,16,42.65,5.63,outside forsts-10m from roadside,inside forsts-10m from roadside,mug,NA,53_Fedrica_2013,53,NA,TRUE,6,129,15,61,53_Fedrica_2013_case6,case6,obs.129,Fedrica_2013_obs.129,g,-0.092428487,0.002215442,-0.092428487,0.002215442,FALSE,0.047068478,0.047068478
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,NO2,NOX,g,20,53.7,4.4,20,61.6,5.1,open field,under tree canopy,mug,"1M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,1,130,38,62,54_Federica_2015_case1,case1,obs.130,Federica_2015_obs.130,g,0.137248869,6.78e-4,0.137248869,6.78e-4,FALSE,0.026046276,0.026046276
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,NO2,NOX,g,20,34.4,3.3,20,29.2,4.2,open field,under tree canopy,mug,"5M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,2,131,39,63,54_Federica_2015_case2,case2,obs.131,Federica_2015_obs.131,g,-0.163887855,0.001494565,-0.163887855,0.001494565,FALSE,0.0386596,0.0386596
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,NO2,NOX,g,20,28.9,4.5,20,22.5,3,open field,under tree canopy,mug,"10M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,3,132,40,64,54_Federica_2015_case3,case3,obs.132,Federica_2015_obs.132,g,-0.250326286,0.002101159,-0.250326286,0.002101159,FALSE,0.045838399,0.045838399
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,O3,O3,g,20,23.4,2.1,20,35.6,6.2,open field,under tree canopy,mug,"1M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,4,133,16,65,54_Federica_2015_case4,case4,obs.133,Federica_2015_obs.133,g,0.419609615,0.001919234,0.419609615,0.001919234,FALSE,0.043809062,0.043809062
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,O3,O3,g,20,42.4,3.1,20,38.4,4.3,open field,under tree canopy,mug,"5M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,5,134,17,66,54_Federica_2015_case5,case5,obs.134,Federica_2015_obs.134,g,-0.099090903,8.94e-4,-0.099090903,8.94e-4,FALSE,0.029903909,0.029903909
